,ditadura,reforma trabalhista,feminismo,reforma agrária,corrupção,segurança
0,14.0,6.0,0.0,2.0,55.0,50.0
1,152.0,12.0,5.0,5.0,374.0,134.0
2,116.0,13.0,3.0,12.0,460.0,194.0
3,175.0,4.0,6.0,9.0,571.0,237.0
4,132.0,19.0,3.0,17.0,404.0,160.0
5,168.0,19.0,2.0,10.0,391.0,140.0
6,126.0,6.0,7.0,9.0,512.0,188.0
7,104.0,4.0,7.0,6.0,434.0,97.0
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,71.0,11.0,9.0,4.0,545.0,146.0
9,96.0,4.0,2.0,1.0,630.0,112.0
10,112.0,2.0,1.0,0.0,469.0,149.0
11,61.0,3.0,4.0,9.0,681.0,83.0
12,66.0,5.0,6.0,3.0,571.0,114.0
13,89.0,1.0,9.0,6.0,720.0,167.0
14,87.0,4.0,6.0,3.0,594.0,142.0
15,4.0,0.0,0.0,1.0,44.0,13.0
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,71.0,11.0,9.0,4.0,543.0,145.0
17,96.0,4.0,2.0,1.0,630.0,112.0
18,112.0,2.0,1.0,0.0,469.0,149.0
19,61.0,3.0,4.0,9.0,681.0,83.0
20,66.0,5.0,6.0,3.0,571.0,114.0
21,89.0,1.0,9.0,6.0,720.0,167.0
22,87.0,4.0,6.0,3.0,594.0,142.0
23,4.0,0.0,0.0,1.0,45.0,13.0
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,71.0,11.0,9.0,4.0,543.0,145.0
25,96.0,4.0,2.0,1.0,630.0,112.0
26,112.0,2.0,1.0,0.0,469.0,149.0
27,61.0,3.0,4.0,9.0,681.0,83.0
28,66.0,5.0,6.0,3.0,571.0,114.0
29,89.0,1.0,9.0,6.0,720.0,167.0
30,87.0,4.0,6.0,3.0,594.0,142.0
31,4.0,0.0,0.0,1.0,45.0,13.0
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,91.0,6.0,6.0,0.0,646.0,160.0
33,170.0,6.0,5.0,1.0,631.0,196.0
34,245.0,2.0,2.0,5.0,504.0,167.0
35,168.0,2.0,10.0,2.0,486.0,159.0
36,139.0,5.0,3.0,1.0,474.0,120.0
37,142.0,4.0,0.0,1.0,558.0,171.0
38,117.0,4.0,2.0,6.0,444.0,357.0
39,2.0,0.0,0.0,0.0,22.0,11.0
